# L9 Dynamic Tool Catalog
# =========================
# Scanned from actual code (not hardcoded)
# Format: tool_name | Category | Risk | File

## Tools Found in core/tools/

| Tool | Category | Risk | File |
| `tools_get_api_dependents` | core | high | core/tools/registry_adapter.py |
| `tools_get_blast_radius` | core | high | core/tools/registry_adapter.py |
| `tools_get_by_type` | core | high | core/tools/registry_adapter.py |
| `tools_get_by_type` | core | high | core/tools/tool_graph.py |
| `tools_get_catalog` | core | high | core/tools/registry_adapter.py |
| `tools_get_dependencies` | core | high | core/tools/registry_adapter.py |
| `tools_get_for_role` | core | high | core/tools/registry_adapter.py |
| `tools_get_for_role` | core | high | core/tools/tool_graph.py |
| `tools_get_metadata` | core | high | core/tools/registry_adapter.py |
| `tools_get_metadata` | core | high | core/tools/tool_graph.py |
| `tools_get_schema` | core | high | core/tools/registry_adapter.py |
| `tools_get_schema` | core | high | core/tools/tool_graph.py |
| `tools_list_all` | core | high | core/tools/registry_adapter.py |
| `tools_list_all` | core | high | core/tools/tool_graph.py |
| `tools_list_enabled` | core | high | core/tools/registry_adapter.py |
| `tools_list_enabled` | core | high | core/tools/tool_graph.py |
| `vercel_get_deploy_status` | core | high | core/tools/tool_graph.py |
| `vercel_trigger_deploy` | core | high | core/tools/tool_graph.py |
| `web_search` | core | high | core/tools/tool_graph.py |
| `world_model_get_entity` | core | high | core/tools/registry_adapter.py |
| `world_model_get_entity` | core | high | core/tools/tool_graph.py |
| `world_model_get_state_version` | core | high | core/tools/registry_adapter.py |
| `world_model_get_state_version` | core | high | core/tools/tool_graph.py |
| `world_model_list_entities` | core | high | core/tools/registry_adapter.py |
| `world_model_list_entities` | core | high | core/tools/tool_graph.py |
| `world_model_list_snapshots` | core | high | core/tools/registry_adapter.py |
| `world_model_list_snapshots` | core | high | core/tools/tool_graph.py |
| `world_model_list_updates` | core | high | core/tools/registry_adapter.py |
| `world_model_query` | core | high | core/tools/registry_adapter.py |
| `world_model_query` | core | high | core/tools/tool_graph.py |
| `world_model_restore` | core | high | core/tools/registry_adapter.py |
| `world_model_send_insights` | core | high | core/tools/registry_adapter.py |
| `world_model_send_insights` | core | high | core/tools/tool_graph.py |
| `world_model_snapshot` | core | high | core/tools/registry_adapter.py |
| `world_model_snapshot` | core | high | core/tools/tool_graph.py |

# Total: 138 tool definitions found
